원자번호,원자,주기 (x좌표),족 (y좌표),원자량 (u),원자반지름(A),밀도 (g/cm3),이온반지름(pm),1차 이온화에너지,2차 이온화에너지,전자친화도,전기음성도,녹는점,표준환원전위
1,H,1,1,1,0.37,0.00008988,154,13.6,,0.75,2.2,-259,0
2,He,1,18,4,0.31,0.0001785,,24.6,54.4,0,,-272,
3,Li,2,1,6.9,1.52,0.534,76,5.39,75.6,0.62,0.98,180,-3.04
4,Be,2,2,9,1.12,1.85,45,9.32,18.2,0,1.57,1287,-1.85
5,B,2,13,10.8,0.85,2.37,27,8.3,25.2,0.28,2.04,2076,
6,C,2,14,12,0.77,2.267,16,11.26,24.4,1.26,2.55,3550,
7,N,2,15,14,0.75,0.0012506,13,14.53,29.6,-0.07,3.04,-210,
8,O,2,16,16,0.73,0.001429,140,13.62,35.1,1.46,3.44,-218,1.23
9,F,2,17,19,0.71,0.001696,133,17.42,34.9,3.4,3.98,-220,2.87
10,Ne,2,18,20.2,0.69,0.0008999,,21.56,41,0,,-249,
11,Na,3,1,23,1.86,0.97,102,5.14,47.3,0.55,0.93,98,-2.71
12,Mg,3,2,24.3,1.6,1.74,72,7.64,15,0,1.31,650,-2.37
13,Al,3,13,27,1.43,2.7,53,5.99,18.8,0.43,1.61,660,-1.66
14,Si,3,14,28.1,1.18,2.3296,40,8.15,16.3,1.39,1.9,1414,
15,P,3,15,31,1.1,1.82,38,10.49,19.8,0.75,2.19,44,
16,S,3,16,32.1,1.03,2.067,184,10.36,23.3,2.07,2.58,115,0.14
17,Cl,3,17,35.5,0.99,0.003214,181,12.97,23.8,3.61,3.16,-101,1.36
18,Ar,3,18,39.9,0.97,0.0017837,,15.76,27.6,0,,-189,
19,K,4,1,39.1,2.27,0.89,138,4.34,31.6,0.5,0.82,63,-2.93
20,Ca,4,2,40.1,1.97,1.54,100,6.11,11.9,0.02,1,842,-2.87
21,Sc,4,3,45,1.62,2.99,75,6.56,12.8,0.19,1.36,1541,-2.08
22,Ti,4,4,47.9,1.47,4.5,86,6.83,13.6,0.08,1.54,1668,-1.63
23,V,4,5,50.9,1.34,6,79,6.75,14.7,0.53,1.63,1910,-1.18
24,Cr ,4,6,52,1.28,7.15,73,6.77,16.5,0.67,1.66,1907,-0.74
25,Mn,4,7,54.9,1.27,7.3,67,7.43,15.6,0,1.55,1246,-1.18
26,Fe,4,8,55.8,1.26,7.874,61,7.9,16.2,0.15,1.83,1538,-0.44
27,Co,4,9,58.9,1.25,8.86,65,7.88,17.1,0.66,1.88,1495,-0.28
28,Ni,4,10,58.7,1.24,8.912,69,7.64,18.2,1.16,1.91,1455,-0.25
29,Cu,4,11,63.5,1.28,8.933,73,7.73,20.3,1.24,1.9,1085,0.34
30,Zn,4,12,65.4,1.34,7.134,74,9.39,17.96,0,1.65,420,-0.76
31,Ga,4,13,69.7,1.35,5.91,62,5.99,20.5,0.3,1.81,30,-0.53
32,Ge,4,14,72.6,1.22,5.323,53,7.9,15.9,1.23,2.01,938,
33,As,4,15,74.9,1.2,5.776,58,9.81,18.6,0.81,2.18,817,
34,Se,4,16,79,1.19,4.809,50,9.75,21.2,2.02,2.55,221,
35,Br,4,17,79.9,1.14,3.11,196,11.81,21.6,3.36,2.96,-7,1.07
36,Kr,4,18,83.8,1.1,0.003733,,14,24.4,0,,-157,
37,Rb,5,1,85.5,2.48,1.53,152,4.18,27.3,0.49,0.82,39,-2.98
38,Sr,5,2,87.6,2.15,2.64,118,5.69,11,0.05,0.95,777,-2.89
39,Y,5,3,88.9,1.8,4.47,90,6.22,12.2,0.31,1.22,1526,-2.37
40,Zr,5,4,91.2,1.6,6.52,72,6.63,13.1,0.43,1.33,1855,-1.45
41,Nb,5,5,92.9,1.46,8.57,64,6.76,14.3,0.92,1.6,2477,-1.1
42,Mo,5,6,96,1.39,10.2,59,7.09,16.2,0.75,2.16,2623,-0.2
43,Tc,5,7,98,1.36,11,55,7.28,15.3,0.55,1.9,2157,
44,Ru,5,8,101.1,1.34,12.1,54,7.36,16.8,1.05,2.2,2334,0.45
45,Rh,5,9,102.9,1.34,12.4,64,7.46,18.1,1.14,2.28,1964,0.76
46,Pd,5,10,106.4,1.37,12,115,8.34,19.4,0.56,2.2,1555,0.95
47,Ag,5,11,107.9,1.44,10.501,95,7.58,21.5,1.3,1.93,962,0.8
48,Cd,5,12,112.4,1.51,8.69,81,8.99,16.9,0,1.69,321,-0.4
49,In ,5,13,114.8,1.67,7.31,69,5.79,18.9,0.3,1.78,157,-0.34
50,Sn,5,14,118.7,1.4,7.287,76,7.34,14.6,1.11,1.96,232,-0.14
51,Sb,5,15,121.8,1.4,6.685,70,8.64,16.5,1.05,2.05,631,
52,Te,5,16,127.6,1.42,6.232,220,9.01,18.6,1.97,2.1,450,
53,I ,5,17,126.9,1.33,4.93,,10.45,19.1,3.06,2.66,114,0.54
54,Xe,5,18,131.3,1.3,0.005887,167,12.13,21.2,0,,-112,
55,Cs,6,1,132.9,2.65,1.93,135,3.89,25.1,0.47,0.79,28,-3.03
56,Ba,6,2,137.3,2.22,3.62,103,5.21,10,0.14,0.89,727,-2.9
57,La,8,3,138.9,1.87,6.15,102,5.58,11.1,0.47,1.1,920,-2.38
58,Ce,8,4,140.1,1.81,6.77,101,5.54,10.9,0.5,1.12,795,-2.34
59,Pr,8,5,140.9,1.82,6.77,99,5.47,10.6,0.5,1.13,935,-2.35
60,Nd,8,6,144.2,1.81,7.01,98,5.53,10.7,0.5,1.14,1024,-2.32
61,Pm,8,7,145,1.8,7.26,96,5.55,10.9,0.13,1.13,1042,-2.3
62,Sm,8,8,150.4,1.8,7.52,109,5.64,11.1,0.16,1.17,1072,-2.3
63,Eu,8,9,152,2.04,5.24,94,5.67,11.2,0.86,1.2,826,-1.99
64,Gd,8,10,157.3,1.79,7.9,92,6.15,12.1,0.14,1.2,1313,-2.28
65,Tb,8,11,158.9,1.78,8.23,91,5.86,11.5,0.34,1.22,1356,-2.3
66,Dy,8,12,162.5,1.77,8.55,89,5.94,11.7,0.31,1.23,1412,-2.29
67,Ho,8,13,164.9,1.76,8.8,88,6.02,12,0.32,1.24,1474,-2.33
68,Er,8,14,167.3,1.75,9.07,87,6.11,12.3,0.3,1.25,1529,-2.33
69,Tm ,8,15,168.9,1.74,9.32,86,6.18,12.6,0.32,1.27,1545,-2.32
70,Yb,8,16,173.1,1.94,6.9,85,6.25,12.7,0.02,1.1,824,-2.19
71,Lu,8,17,175,1.73,9.84,71,5.43,13.9,0.02,1.27,1663,-2.3
72,Hf,6,4,178.5,1.59,13.3,64,6.83,14.9,0.18,1.3,2233,-1.7
73,Ta,6,5,181,1.46,16.4,60,7.55,16.1,0.32,1.5,3017,-0.6
74,W,6,6,183.8,1.39,19.3,58,7.86,17.1,0.15,2.36,3422,-0.1
75,Re,6,7,186.2,1.37,20.8,57,7.83,16.6,0.32,1.9,3186,0.3
76,Os,6,8,190.2,1.35,22.57,56,8.44,17,1.08,2.2,3033,0.4
